url,url_length,https,total_links,safe_links,non_safe_links,length,status,tld,sentiment,label,bad_words
http://www.myukdate.com,23,0,3,3,0,11362,1,com,0.2307575757575757,Good,0
http://www.homelesshusky.com/,29,0,53,53,0,6103,1,com,0.4145833333333333,Good,0
http://www.honestreporting.org/,31,0,12,0,12,1846,1,org,0.2404117063492063,Good,0
http://www.gourd.com/123a.html,30,0,0,0,0,188,0,com,0.0,Good,0
http://groups.yahoo.com/group/nightheatclub/,44,0,105,104,1,11551,1,com,0.0816534914361001,Good,0
http://www.lypstik.com,22,0,0,0,0,0,1,com,0.0,Good,0
http://faculty.uca.edu/,23,0,5,0,5,1190,1,edu,0.0277777777777777,Good,0
http://www.adamsbank.com/,25,0,28,0,28,724,1,com,0.0,Good,0
http://www.gssgeomatics.com/,28,0,200,40,160,50107,1,com,0.2323593073593073,Good,0
http://www.prima-international.com,34,0,0,0,0,66,1,com,0.0,Good,0
http://www.seed.slb.com/en/scictr/lab/engineer/,47,0,0,0,0,1271,0,com,-0.0285714285714285,Good,0
http://groups.yahoo.com/group/dailypowerwords,45,0,105,104,1,11561,1,com,0.0739090909090909,Good,0
http://inkinmycoffee.blogspot.com/,34,0,215,22,193,18753,1,blogspot.com,0.1736417748917748,Good,0
http://www.ontrak.net/,22,0,0,0,0,1169,1,net,0.1777777777777777,Good,0
http://members.tripod.com/t109/pack.html,40,0,3,0,3,698,1,com,0.2232142857142857,Good,0
http://www.informationbuilders.com/solutions/banking.html,57,0,13,11,2,8754,1,com,0.2083333333333333,Good,0
http://www.kinetic-web.com/,27,0,0,0,0,293,1,com,-0.1,Good,0
http://iphonegamers.net,23,0,1,1,0,2055,1,net,0.0,Good,0
http://www.css.cornell.edu/compost/composting_homepage.html,59,0,0,0,0,188,0,edu,0.0,Good,0
http://www.fnbnamibia.com.na/,29,0,16,15,1,18851,1,com.na,0.11875,Good,0
http://modis-snow-ice.gsfc.nasa.gov/intro.html,46,0,0,0,0,88,0,gov,0.0,Good,0
http://www2.hawaii.edu/~delbeek/,32,0,0,0,0,135,0,edu,0.0,Good,0
http://www.kidsenses.com/,25,0,1,0,1,131,0,com,0.0,Good,0
