url,url_length,https,total_links,safe_links,non_safe_links,length,status,tld,sentiment,label
http://www.geocities.com/bourbonstreet/bayou/3912/,50,0,103,102,1,11895,1,com,0.16792105547453146,0
http://www.kevscave.com/muscledthreesome/index.html,51,0,0,0,0,0,1,com,0.0,0
http://www.editions-rlo.com/,28,0,347,346,1,11648,1,com,0.45722527472527474,0
http://www.geocities.com/hollywood/mansion/2047/index.html,58,0,103,102,1,11902,1,com,0.16989912566525472,0
http://www.misoji.net/,22,0,6,0,6,749,1,net,0.0,0
http://www.kevscave.com/eastboys06/,35,0,0,0,0,0,1,com,0.0,0
http://www.hatuncenneti.com/,28,0,1,0,1,1423,0,com,0.2590909090909091,0
http://www.filthyteens.com/gold/indian_fetishes/,48,0,0,0,0,99,0,com,0.0,0
http://www.xtrasex.com/o/ramb/index.htm,39,0,7,0,7,1645,1,com,-0.08518518518518518,0
http://www.hkbdsm.com/shop,26,0,0,0,0,188,0,com,0.0,0
http://zpravy.adult.cz/,23,0,28,0,28,2518,1,cz,0.0,0
http://www.boundshop.de/,24,0,0,0,0,9,1,de,0.0,0
http://www.geohost.net/adm/punishment_palace/,45,0,4,0,4,1178,1,net,0.11212121212121212,0
http://www.sexylegs.ch/,23,0,2,2,0,997,1,ch,0.3955555555555555,0
http://www.bondage-links.com/,29,0,0,0,0,0,1,com,0.0,0
http://www.pornbutler.com/xxx_sex/black_lightskin/index.htm,59,0,53,53,0,5462,1,com,0.23724747474747482,0
http://www.bostonpump.com,25,0,0,0,0,162,0,com,0.5,0
http://www.privat4u.de,22,0,43,43,0,3407,1,de,0.16666666666666666,0
http://www.themistresses.com,28,0,4,4,0,3927,1,com,0.14743030303030305,0
http://www.fetish-bizarre.biz/strapon-extreme/,46,0,420,287,133,164418,1,biz,0.3617893217893218,0
http://www.escort-romania.ro/,29,0,66,66,0,5041,1,ro,0.1978625541125541,0
http://www.jbvideo.com,22,0,10,4,6,41150,1,com,0.0421723300970874,0
http://www.livetreff.tv/,24,0,57,0,57,4981,1,tv,0.0,0
http://www.rossoscarlatto.net/,30,0,21,20,1,5264,1,net,0.0,0
http://www.tgpfriendly2.com/members/kira/,41,0,0,0,0,52,1,com,0.0,0
http://www.gayboysex.net/euro_hustler/index.html,48,0,23,22,1,24958,0,net,0.13986860463882525,0
http://www.cherryboys.net/justinyoung_milk/,43,0,0,0,0,76,0,net,0.0,0
http://www.sandra-deluxe.de/,28,0,1,0,1,169,1,de,0.0,0
http://www.geocities.com/courier1998/,37,0,105,104,1,11637,1,com,0.16688957138957142,0
http://www.ehimegay.com/,24,0,2,0,2,426,1,com,0.4166666666666667,0
http://www.ladycilia.de/,24,0,119,117,2,29622,1,de,0.0675,0
http://www.teenagedreamz.com/avs/fip/,37,0,0,0,0,89,0,com,0.0,0
http://www.geocities.com/nataliepaav/index1.html,48,0,105,104,1,11664,1,com,0.16976259851259853,0
http://www.geocities.com/nthropologie/,38,0,103,102,1,11903,1,com,0.16989912566525472,0
http://supersexymodel.com/,26,0,0,0,0,0,1,com,0.0,0
http://fetish-sm.over-blog.com/,31,0,189,0,189,13883,1,com,-0.10506510416666663,0
http://www.bunsandboobs.com/now/index.html,42,0,0,0,0,46,0,com,0.0,0
http://www.adultcontactsdirect.com/,35,0,107,107,0,15892,1,com,0.19255104617604632,0
http://www.xponsor.com/,23,0,0,0,0,1183,1,com,0.2122159090909091,0
http://www.she-malex.com/pc/,28,0,2,2,0,219,1,com,0.0,0
http://smaq.com/,16,0,1,1,0,438,0,com,-0.03333333333333333,0
http://www.sexy-dreams.com/avs10/02/agecheck/index.html,55,0,0,0,0,509,1,com,0.1111111111111111,0
http://www.vultureslair.com/,28,0,105,104,1,11697,1,com,0.1718294892085215,0
http://www.ladyclaudia.de/,26,0,1,0,1,166,1,de,0.0,0
http://mandate.com.au,21,0,21,20,1,2041,1,com.au,0.3620323129251701,0
http://www.angelfire.com/mb/wsjournal/index.html,48,0,3,2,1,323,1,com,-0.03125,0
http://www.larasharem.com/euroteen/nastyspanishteen/,52,0,0,0,0,39,1,com,0.0,0
http://www.anythingforlove.org/,31,0,1,1,0,145,1,org,0.175,0
http://www.coachron.com/,24,0,0,0,0,103,1,com,0.5,0
